x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
0.559,21,30.4,1,0,7.5,2001,1,1,4,1308
0.176,26,26.8,1,1,1.0,1997,1,1,1,1218
0.392,30,20.9,2,0,0.9,1992,1,1,0,1678
0.473,33,36.8,2,0,8.5,1990,1,1,1,1136
0.492,27,35.2,0,1,1.1,1996,1,0,3,1577
0.69,27,38.8,2,0,0.0,1995,1,1,0,1170
0.939,35,19.8,0,1,5.7,1987,1,0,0,1500
0.672,39,39.6,2,0,1.4,1983,0,1,3,1382
0.648,36,30.8,0,1,7.3,1986,1,1,0,1458
0.759,28,31.8,2,0,6.0,1994,1,0,0,1668
0.691,31,20.4,2,0,6.2,1992,1,0,1,1561
0.723,28,23.8,2,1,4.7,1994,1,1,4,1339
0.131,28,22.7,1,0,1.1,1994,0,0,3,1654
0.547,26,22.7,0,1,0.1,1996,1,0,2,1473
0.876,27,41.8,1,0,1.1,1995,1,1,2,1311
0.917,22,39.2,0,1,0.6,2000,0,0,5,1113
0.036,30,23.6,1,1,2.5,1993,0,1,3,1683
0.067,28,38.6,0,1,12.5,1994,1,0,2,1265
0.951,31,28.4,1,1,2.3,1992,1,1,2,1662
0.784,31,33.5,2,1,7.1,1992,0,1,1,1388
0.678,25,26.8,0,0,5.3,1998,1,1,2,1461
0.732,37,25.5,1,1,2.2,1985,1,0,3,1344
0.287,37,43.3,1,0,3.2,1985,1,1,1,1082
0.682,31,29.4,2,1,2.9,1991,1,0,1,1332
0.812,29,26.5,1,0,2.1,1994,0,1,2,1527
0.906,28,13.6,0,0,0.9,1995,1,1,1,1470
0.004,26,31.1,2,1,3.9,1997,0,1,7,1327
0.559,27,27.6,0,1,7.5,1996,1,1,1,1548
0.124,27,29.0,1,1,1.7,1996,0,0,3,1680
0.773,26,26.2,2,0,4.3,1997,0,1,2,1561
0.653,39,27.3,0,1,0.4,1984,1,0,1,540
0.078,38,43.0,2,0,1.1,1985,1,1,2,1050
0.152,31,35.2,1,0,1.4,1991,1,0,1,1528
0.03,33,11.9,0,1,3.2,1989,1,1,1,1231
0.487,28,27.5,0,1,3.8,1995,1,1,1,1248
0.721,24,35.7,0,1,2.6,1999,1,0,0,1289
0.158,30,33.9,2,1,4.7,1993,1,1,3,1447
0.336,30,19.9,2,0,3.1,1993,1,0,4,1586
0.642,24,36.1,0,1,5.1,1998,0,1,1,1190
0.123,30,30.6,1,1,2.5,1992,1,0,0,1774
0.458,41,47.4,2,1,1.2,1982,0,1,2,1386
0.418,29,32.8,1,0,0.3,1993,0,0,0,1576
0.877,28,28.4,0,0,7.2,1994,1,1,1,1208
0.058,34,32.3,0,0,7.2,1989,0,0,0,1363
0.931,33,17.9,0,1,1.9,1989,0,1,1,1423
0.216,28,34.5,2,1,3.2,1994,1,1,0,1461
0.958,32,35.3,1,0,4.2,1990,1,1,5,1404
0.622,30,33.3,2,1,1.7,1993,0,0,4,1577
0.808,28,40.4,2,0,3.5,1995,1,0,1,1691
0.089,24,30.1,0,0,0.8,1998,0,0,1,1092
0.782,28,27.8,1,0,2.7,1995,1,1,1,1286
0.085,29,33.4,2,0,2.9,1993,1,1,3,1450
0.73,32,29.1,1,0,0.2,1990,0,1,2,1293
0.954,27,35.8,1,1,0.6,1995,0,1,1,929
0.328,32,23.5,2,0,11.0,1990,1,1,3,1325
0.515,26,31.5,2,0,5.3,1997,1,1,0,1014
0.209,32,30.6,1,0,5.2,1991,1,1,2,1076
0.418,33,41.3,2,1,0.8,1990,0,1,5,1768
0.714,34,32.2,2,0,1.6,1988,0,0,1,1182
0.718,31,41.1,1,0,0.4,1992,1,0,3,1802
0.399,28,32.2,1,1,1.1,1995,1,1,1,1545
0.983,32,26.3,0,0,5.5,1991,1,0,1,1243
0.322,35,24.7,1,1,4.6,1987,0,1,3,1482
0.382,31,14.9,2,1,3.4,1991,1,0,1,1158
0.949,40,31.4,1,1,2.4,1982,0,1,4,1255
0.947,39,37.5,1,0,0.8,1983,0,0,0,875
0.197,26,30.4,1,0,0.5,1997,1,1,1,1298
0.587,21,31.3,0,0,8.9,2002,1,1,1,960
0.953,25,41.6,2,1,3.3,1998,0,1,1,899
0.534,37,34.1,1,0,1.0,1986,1,1,1,949
0.218,38,35.4,0,0,0.7,1985,1,1,2,1434
0.855,26,24.9,1,0,0.2,1997,1,1,0,1304
0.228,28,20.1,2,1,1.7,1995,1,1,0,1283
0.521,31,22.2,2,1,1.7,1991,0,1,1,1256
0.682,27,36.7,1,1,1.5,1995,0,1,1,1721
0.326,29,32.4,2,1,1.1,1994,1,1,0,1269
0.49,32,31.7,0,0,1.0,1991,0,1,4,1400
0.734,30,36.1,1,0,3.2,1992,1,1,4,1503
0.645,33,29.5,2,1,0.3,1990,1,1,0,1522
0.441,30,26.0,0,0,8.2,1992,0,0,1,1836
0.798,17,31.3,0,1,2.2,2006,0,1,5,394
0.816,29,22.6,1,1,1.1,1993,1,1,1,1307
0.568,30,41.6,0,1,0.6,1993,1,0,4,1389
0.513,29,33.4,2,1,2.8,1994,1,1,1,1667
0.385,28,29.7,1,1,0.2,1994,0,0,3,1818
0.119,30,27.1,0,1,3.8,1993,1,0,5,1401
0.195,29,27.4,2,0,4.8,1993,1,1,1,1715
0.591,24,25.6,0,1,4.1,1998,1,1,0,1326
0.645,27,25.5,2,1,6.4,1995,1,1,5,1539
0.771,37,12.2,0,1,0.9,1985,0,0,1,1088
0.423,21,24.6,1,0,0.2,2002,1,1,4,1039
0.866,22,15.0,0,0,5.5,2000,0,1,2,760
0.355,27,14.6,1,0,11.7,1995,1,1,1,949
0.369,31,34.3,2,1,0.2,1992,1,1,1,1673
0.714,41,32.5,2,1,0.7,1981,0,0,3,1168
0.02,41,26.9,2,0,4.7,1981,1,1,4,749
0.592,42,21.7,1,1,0.8,1980,1,1,7,1451
0.706,24,30.0,0,0,7.0,1999,1,1,0,902
0.933,32,21.9,1,1,2.7,1991,1,0,1,1375
0.798,30,25.1,1,0,0.1,1993,1,1,2,1789
0.121,26,36.3,1,0,2.3,1997,1,0,2,1810
0.43,37,36.9,0,1,9.6,1986,1,1,0,1241
0.094,27,39.5,2,1,1.1,1996,1,0,5,1559
0.226,45,7.7,1,0,9.8,1978,1,1,2,729
0.144,31,37.2,0,0,1.2,1991,0,1,2,1172
0.345,26,31.2,2,1,7.2,1997,0,1,2,1231
0.899,29,19.5,0,0,9.9,1993,1,0,1,1529
0.836,26,26.7,0,0,4.5,1996,1,1,2,1325
0.874,29,25.6,0,0,1.5,1993,1,1,2,1673
0.118,31,31.1,1,0,1.3,1991,1,0,0,1766
0.977,33,13.4,1,0,2.8,1990,1,0,3,1727
0.478,30,17.3,0,0,0.2,1993,0,1,3,1355
0.318,28,23.1,0,0,2.4,1995,1,1,2,1144
0.646,31,29.2,0,0,3.9,1991,1,1,1,1635
0.202,29,26.4,0,0,1.7,1993,1,0,2,1589
0.921,28,40.8,0,1,8.2,1995,1,1,2,1508
0.189,28,28.0,1,0,0.9,1994,0,1,0,1498
0.602,26,33.0,0,1,0.5,1996,1,1,1,1664
0.146,29,41.4,0,1,21.1,1993,1,0,4,1477
0.712,30,46.6,0,0,1.6,1993,0,1,3,1660
0.362,36,31.6,0,0,0.2,1987,0,1,3,836
0.266,33,28.4,0,0,5.4,1990,1,0,3,1546
0.386,33,30.0,1,0,5.6,1989,0,0,1,1345
0.222,28,22.1,0,1,4.0,1994,0,1,5,1870
0.937,28,35.7,0,0,10.6,1995,1,1,3,1401
0.459,32,34.1,2,0,2.9,1991,1,1,2,1683
0.027,33,29.2,0,0,4.8,1990,1,1,1,1178
0.921,24,27.8,1,0,3.5,1998,1,1,2,1403
0.615,25,26.3,1,1,3.4,1997,1,1,1,1515
0.662,29,27.4,1,0,8.8,1994,1,0,0,1858
0.718,25,30.2,0,0,1.5,1998,1,0,1,1195
0.854,38,44.9,2,1,2.4,1985,1,1,1,1042
0.764,35,40.4,2,0,0.7,1988,1,0,2,1348
0.472,30,44.9,2,1,1.2,1993,1,1,4,1793
0.598,26,40.0,1,0,8.8,1996,1,1,1,1030
0.204,25,31.6,1,0,4.4,1998,1,1,6,1451
0.901,40,39.0,0,0,3.2,1982,1,1,1,1035
0.584,32,24.0,0,0,5.4,1991,1,1,4,1326
0.136,35,21.5,2,0,11.6,1988,1,1,1,1493
0.694,29,38.7,0,1,14.7,1994,1,0,1,1064
0.795,27,24.8,2,0,1.2,1995,1,1,1,1316
0.632,28,28.4,2,0,0.1,1994,1,0,2,1457
0.306,35,22.0,1,1,1.3,1988,1,1,4,1174
0.397,30,23.6,1,0,0.4,1992,1,0,0,1367
0.792,32,41.4,1,0,1.0,1990,0,0,1,1278
0.735,34,22.5,0,0,3.2,1988,1,1,2,1351
0.301,27,20.1,1,0,9.4,1995,1,1,2,1268
0.475,24,23.1,0,1,9.5,1999,1,0,4,1206
0.537,33,27.2,0,0,8.9,1989,1,1,3,1404
0.243,38,18.8,2,0,5.5,1984,1,0,3,1480
0.059,38,26.1,1,0,8.1,1985,1,0,0,1143
0.852,30,34.6,0,1,2.1,1992,1,1,1,1538
0.033,31,28.8,0,1,16.3,1991,1,0,5,1461
0.658,33,37.2,0,1,3.2,1990,1,1,2,1799
0.205,36,31.1,2,1,10.5,1986,0,0,3,1006
0.412,25,41.4,0,1,0.6,1997,1,0,3,1355
0.815,29,28.5,1,0,1.4,1994,0,1,0,1456
0.527,29,27.0,2,0,3.6,1994,1,1,1,1562
0.268,32,28.2,0,0,2.5,1991,1,0,3,1451
0.352,29,34.1,2,0,0.8,1994,1,1,4,1584
0.934,35,30.7,1,0,1.3,1988,0,1,1,1160
0.547,35,33.1,0,0,2.5,1988,1,0,5,1388
0.865,23,35.8,0,1,3.5,1999,1,1,2,1099
0.34,28,28.7,1,1,2.4,1995,1,1,3,1427
0.484,40,30.9,2,0,2.7,1983,1,0,3,1088
0.942,22,31.0,0,0,4.6,2000,0,1,4,975
0.568,30,28.8,2,0,8.9,1992,1,1,1,1720
0.022,38,26.5,1,0,3.3,1985,1,1,3,821
0.029,34,33.1,2,0,0.4,1989,1,0,1,1343
0.185,27,29.9,2,1,0.6,1995,1,1,3,1110
0.281,31,27.5,2,0,4.0,1991,1,0,3,1415
0.065,29,22.2,2,0,1.7,1993,0,1,2,1582
0.683,31,30.5,0,1,23.4,1991,0,0,2,1139
0.574,36,39.0,2,1,2.1,1987,0,1,1,800
0.857,31,27.9,2,0,9.4,1991,1,1,0,1662
0.622,30,29.0,2,1,9.3,1993,1,1,2,1893
0.199,28,27.8,1,1,0.7,1995,1,0,2,1421
0.9,27,35.3,0,0,14.5,1996,1,0,1,1615
0.508,30,50.4,1,0,3.2,1993,1,1,2,2065
0.701,24,25.0,1,1,0.4,1998,1,0,0,1213
0.063,32,41.3,0,0,2.6,1990,1,1,3,1670
0.863,34,28.9,1,0,1.2,1989,1,1,1,1495
0.174,38,26.6,2,1,3.9,1984,0,1,0,905
0.733,32,24.3,0,0,1.6,1991,0,1,4,1129
0.157,30,18.8,0,0,0.1,1992,0,0,2,1594
0.912,30,30.7,2,0,1.4,1993,0,1,4,1463
0.998,39,38.4,0,0,1.2,1984,1,1,3,1086
0.723,26,40.3,2,0,5.2,1996,1,1,3,983
0.768,29,28.7,0,1,3.3,1994,0,0,4,1792
0.16,41,28.2,0,1,1.2,1981,1,0,2,543
0.722,21,30.9,1,0,5.5,2002,0,0,1,1172
0.246,32,32.0,2,0,12.0,1991,1,1,0,1420
0.077,21,22.6,1,1,10.2,2002,1,1,2,1280
0.595,28,37.1,2,1,1.2,1994,0,0,2,1084
0.811,23,30.0,2,0,3.4,2000,1,1,1,1358
0.658,23,25.4,1,1,3.9,2000,1,1,3,1537
0.92,24,22.9,1,0,7.4,1999,1,1,2,1544
0.956,26,28.7,2,1,3.5,1997,0,0,3,1711
0.74,31,36.0,0,1,6.3,1991,1,1,1,1687
0.058,29,29.9,1,1,0.6,1993,1,1,4,1607
0.658,34,36.8,2,0,2.6,1988,1,1,1,1289
0.081,27,37.2,0,1,1.4,1996,1,0,4,1196
0.302,26,46.2,1,1,1.7,1997,1,1,3,1423
0.561,33,32.8,0,1,2.5,1989,0,0,1,984
0.694,35,43.5,1,0,7.7,1987,0,1,1,1041
0.272,31,36.9,0,0,22.5,1991,1,1,1,1885
0.175,32,33.2,0,1,5.7,1990,1,1,1,1535
0.938,31,41.5,2,1,1.6,1992,1,0,2,1193
0.993,31,38.2,2,1,1.8,1992,1,0,2,1439
0.136,35,25.6,0,1,1.2,1987,1,1,1,1159
0.694,36,23.8,2,1,14.6,1986,1,1,4,1085
0.43,35,44.3,2,0,1.6,1988,1,1,0,1003
0.59,27,28.7,2,0,1.9,1996,0,0,5,1586
0.855,35,34.7,1,0,4.6,1988,1,1,2,1516
0.203,29,27.1,0,0,3.5,1994,1,0,1,1283
0.652,33,34.3,1,0,18.5,1990,1,0,2,1493
0.468,29,26.0,0,0,5.0,1993,1,1,6,1429
0.882,26,25.9,1,0,0.4,1996,1,1,0,1398
0.369,32,36.7,1,0,5.1,1990,1,1,3,1514
0.703,27,29.6,2,0,4.1,1995,1,0,4,1108
0.555,35,37.9,2,0,10.2,1987,1,1,2,1244
0.303,34,37.3,1,0,9.8,1989,1,0,1,1251
0.902,30,18.0,1,0,4.6,1992,1,1,4,2014
0.244,29,33.2,1,1,0.2,1993,1,1,1,1696
0.555,31,17.4,1,0,8.8,1992,1,0,6,1601
0.776,25,26.8,0,0,2.2,1998,0,1,1,1230
0.374,34,26.2,2,1,4.7,1988,0,1,2,1256
0.457,38,40.3,2,1,4.9,1984,1,1,3,907
0.472,34,31.1,0,1,1.1,1988,1,1,2,1726
0.39,27,32.1,2,0,0.9,1996,1,1,1,1280
0.401,35,34.1,2,0,0.1,1988,0,1,2,1182
0.104,34,33.5,2,1,2.1,1989,1,1,2,1516
0.622,23,39.1,0,1,1.7,2000,0,1,3,1368
0.662,27,24.7,2,1,5.2,1995,0,1,2,1145
0.659,31,37.4,0,1,1.0,1991,0,1,2,1293
0.105,25,45.2,0,1,4.6,1997,1,1,1,1316
0.533,32,22.7,2,1,10.8,1991,0,1,1,1450
0.771,41,29.6,1,1,1.6,1982,0,1,5,341
0.913,27,37.4,1,0,10.3,1995,0,1,2,1254
0.379,33,25.0,0,1,1.1,1989,1,0,5,1271
0.072,22,27.1,1,0,2.3,2000,0,0,3,920
0.347,28,42.0,1,0,2.6,1995,0,1,2,1497
0.395,37,32.2,0,0,20.1,1986,1,0,3,1180
0.063,32,20.7,2,0,0.5,1990,0,1,4,1610
0.064,31,32.3,1,1,1.0,1991,1,1,5,1965
0.647,37,30.4,1,0,2.6,1985,0,1,1,882
0.224,26,34.4,1,0,18.3,1996,0,0,0,1389
0.991,21,25.6,2,0,1.4,2002,1,0,1,1367
0.081,26,33.2,1,0,6.3,1997,1,1,3,1530
0.72,30,30.2,2,0,14.3,1992,0,1,1,1360
0.863,30,35.1,0,1,1.6,1993,1,1,2,1573
0.171,34,39.8,0,1,10.2,1988,0,1,1,1175
0.519,35,30.3,2,1,0.9,1988,0,1,1,1159
0.754,26,31.1,0,0,0.5,1997,0,0,2,1161
0.146,29,24.9,2,1,5.4,1994,1,0,0,1402
0.192,29,20.7,0,1,0.8,1993,0,1,1,1776
0.88,23,26.6,1,0,0.6,1999,0,1,0,1228
0.31,20,28.3,0,1,8.6,2003,0,0,2,1025
0.691,34,24.2,0,0,1.6,1989,0,1,3,1295
0.233,27,26.9,2,1,7.4,1995,1,1,2,1655
0.967,33,22.7,0,1,6.7,1990,1,1,1,1641
0.699,29,9.7,2,0,3.4,1993,1,1,3,1430
0.187,25,30.4,2,1,0.8,1998,1,1,2,1306
0.073,26,37.1,0,1,13.8,1997,1,1,0,1400
0.297,28,29.5,0,1,2.8,1994,1,1,1,1466
0.36,34,31.9,0,0,1.2,1988,0,1,2,1312
0.234,20,17.0,1,0,0.7,2003,1,0,2,1188
0.688,23,35.2,0,0,6.0,2000,0,1,1,882
0.248,31,39.9,2,1,4.1,1992,0,0,1,1490
0.581,32,31.1,1,1,1.7,1991,1,0,0,1376
0.046,33,28.6,0,0,0.1,1990,0,0,2,1428
0.743,30,19.6,1,1,12.3,1993,0,0,3,1570
0.232,28,32.3,0,0,1.4,1995,1,1,0,1264
0.462,35,28.7,1,0,7.5,1987,0,0,0,1029
0.56,29,26.2,1,0,4.7,1994,0,1,1,1521
0.656,28,32.3,1,1,7.6,1994,1,0,4,1630
0.632,24,29.4,0,0,1.0,1999,1,0,1,1353
0.437,23,29.7,0,0,6.6,1999,0,0,1,880
0.669,24,25.2,1,0,5.6,1998,1,0,3,1199
0.743,32,22.0,0,1,2.7,1990,1,1,1,1330
0.625,32,25.4,2,0,3.1,1990,1,1,0,1641
0.41,27,39.9,1,0,4.9,1995,0,1,1,1300
0.001,32,27.4,1,0,1.5,1990,1,0,2,1367
0.941,23,42.4,2,0,4.5,2000,1,1,0,1270
0.991,35,22.4,1,0,4.5,1987,0,1,1,1198
0.163,24,33.2,1,0,1.0,1998,1,0,2,1614
0.628,26,21.0,0,1,1.8,1997,1,0,0,1072
0.489,30,38.2,1,0,8.2,1992,0,0,2,1671
0.751,33,31.1,2,0,3.3,1989,1,0,3,1364
0.656,35,18.5,0,1,15.5,1988,1,1,1,1840
0.51,26,22.7,2,0,17.7,1996,1,1,4,1271
0.447,24,19.6,1,0,0.1,1998,1,0,3,1183
0.076,34,24.9,0,0,0.0,1988,1,1,2,1347
0.92,30,42.4,2,0,9.4,1992,0,1,4,1657
0.861,34,36.7,0,1,1.3,1988,1,1,0,1072
0.516,36,31.9,2,0,0.0,1987,1,0,1,1265
0.174,30,29.0,2,0,6.1,1992,1,0,1,1385
0.244,29,32.8,1,1,7.5,1994,1,1,1,1466
0.461,31,38.6,1,1,0.4,1992,1,1,4,1539
0.763,31,18.4,0,1,7.9,1991,1,1,1,1563
0.297,30,21.7,2,0,2.6,1993,0,1,0,1380
0.623,28,28.8,0,0,1.8,1994,0,0,4,1570
0.075,30,41.1,2,0,0.3,1993,1,0,1,1887
0.41,37,17.0,2,1,5.0,1985,1,0,1,1181
0.392,39,27.9,0,0,4.6,1983,1,1,2,1321
0.766,29,30.3,2,1,1.8,1994,0,0,1,1434
0.442,34,21.3,2,0,3.8,1989,1,1,2,1392
0.442,32,46.5,1,1,11.4,1991,1,1,4,1644
0.4,27,38.6,2,0,0.6,1996,0,0,2,1127
0.575,23,30.4,0,1,8.4,2000,1,0,1,828
0.831,21,32.1,1,1,1.8,2002,1,1,1,1043
0.316,25,17.4,0,0,5.5,1997,1,0,1,1200
0.742,26,28.3,0,0,1.3,1997,0,1,1,1589
0.393,34,26.4,2,0,1.8,1988,1,1,3,1562
0.681,27,35.0,2,0,15.8,1995,1,1,3,1452
0.152,34,27.1,0,0,5.0,1989,0,0,1,1447
0.566,30,33.2,0,0,0.9,1993,1,1,1,1564
0.863,25,33.7,1,1,3.7,1997,1,0,5,1233
0.515,33,26.4,0,0,15.0,1990,1,0,5,1623
0.35,37,32.6,2,0,6.4,1986,0,1,3,1167
0.819,37,31.3,1,0,11.7,1985,0,1,6,755
0.667,32,33.3,1,0,3.1,1990,0,1,4,1384
0.615,32,40.7,1,1,1.2,1991,1,0,3,1215
0.564,30,32.6,2,0,5.8,1992,1,0,3,1487
0.309,28,29.4,0,1,0.8,1995,1,1,1,1775
0.366,40,31.5,1,0,8.7,1982,1,1,4,814
0.091,23,41.3,2,1,3.5,2000,1,1,1,1472
0.123,36,36.8,2,1,2.1,1986,1,1,1,1136
0.663,27,21.8,1,0,2.0,1995,0,0,0,1477
0.129,31,6.4,2,0,2.3,1992,1,1,1,1476
0.377,30,30.7,2,0,17.7,1992,1,1,3,1174
0.461,31,25.1,0,1,1.1,1992,1,0,5,1449
0.026,32,38.4,1,1,7.2,1990,0,0,0,1280
0.398,26,35.4,1,1,3.8,1996,0,1,1,1516
0.87,27,33.0,0,0,3.0,1995,1,1,2,1478
0.563,25,36.6,1,0,6.4,1998,1,1,1,1365
0.712,22,36.9,2,0,8.2,2000,1,0,2,1294
0.583,37,24.2,1,0,0.4,1986,1,0,4,1250
0.634,28,40.1,0,0,1.6,1995,1,0,0,1621
0.871,24,33.1,0,1,0.4,1998,1,0,3,1077
0.616,29,23.6,0,0,2.0,1994,1,0,3,1500
0.317,29,30.5,1,0,1.7,1994,0,0,1,1401
0.165,32,34.4,2,0,0.5,1991,0,0,4,1218
0.694,27,26.0,0,0,0.2,1996,1,1,3,1335
0.524,32,36.4,0,1,3.5,1991,1,1,2,1376
0.493,24,28.1,1,0,5.4,1998,1,1,0,1090
0.011,31,31.2,0,1,0.5,1992,0,1,2,1714
0.692,24,31.1,1,0,0.0,1998,0,0,2,1391
0.91,30,24.8,1,0,6.3,1993,1,1,0,1676
0.527,30,28.1,0,0,0.6,1993,1,1,1,1296
0.623,27,32.9,0,0,1.7,1995,1,1,4,1234
0.925,29,26.9,1,0,4.6,1993,1,0,2,1630
0.235,22,28.2,1,0,8.2,2001,1,1,0,1106
0.934,31,30.2,0,0,1.1,1992,0,0,1,997
0.342,16,27.6,2,1,1.4,2007,1,0,2,862
0.084,30,32.1,1,1,7.1,1992,0,1,2,1692
0.307,30,32.0,1,0,1.9,1992,1,1,2,1213
0.52,23,17.0,0,0,1.0,1999,1,1,1,1531
0.244,38,29.8,0,1,2.4,1984,0,0,3,709
0.549,31,34.7,2,1,1.7,1992,1,0,3,1645
0.101,32,25.1,2,0,2.0,1990,0,1,2,1589
0.614,30,42.8,0,1,2.3,1992,0,1,2,2099
0.452,32,37.8,1,1,7.1,1990,1,1,2,1694
0.145,26,30.8,1,0,0.4,1997,1,1,3,1241
0.948,32,31.6,0,0,0.4,1991,0,0,0,1456
0.793,31,24.2,2,0,1.6,1992,0,1,1,1297
0.299,38,36.3,1,0,1.9,1984,1,1,5,1298
0.03,34,36.3,1,0,7.5,1989,1,1,4,1285
0.959,31,32.7,2,0,2.7,1991,1,0,1,1065
0.644,29,27.7,2,1,3.9,1994,1,1,3,1919
0.862,33,35.5,1,0,2.1,1989,1,1,1,1707
0.753,34,26.0,1,1,1.6,1988,1,1,4,1701
0.876,37,41.7,1,0,6.3,1985,0,1,2,1335
0.285,34,33.0,1,0,2.1,1989,1,1,0,1302
0.063,22,21.0,2,1,9.0,2000,0,1,5,1461
0.319,33,25.1,1,0,1.6,1990,0,1,0,1029
0.446,30,29.0,1,0,5.6,1993,1,0,1,1084
0.056,36,32.9,0,0,13.2,1986,0,1,1,1082
0.626,29,32.5,1,0,1.8,1994,0,1,0,1335
0.928,30,29.5,1,1,1.3,1993,0,1,1,1219
0.023,36,29.4,1,0,0.0,1986,0,1,2,1124
0.544,31,35.1,0,0,3.6,1991,0,1,3,1695
0.38,26,17.0,0,1,7.1,1997,0,1,4,1843
0.122,32,24.0,0,0,13.1,1991,1,1,1,1357
0.137,20,29.4,1,0,13.5,2002,0,1,3,863
0.396,29,29.6,0,0,1.6,1994,0,1,1,1761
0.4,34,31.9,0,1,0.5,1988,1,0,2,1145
0.7,31,29.6,0,1,4.2,1992,0,0,1,1091
0.261,25,23.9,2,1,5.6,1998,0,0,4,1189
0.041,28,48.4,0,0,12.0,1994,1,1,2,1304
0.246,38,48.4,1,0,1.0,1984,1,1,1,1101
0.441,22,34.6,1,0,9.1,2000,1,0,0,1272
0.541,33,29.1,1,1,1.6,1989,1,1,0,1282
0.151,26,33.1,0,1,5.1,1996,0,1,2,1598
0.993,26,36.1,1,0,2.4,1996,1,0,1,1123
0.474,32,39.4,2,0,0.0,1990,0,1,3,1333
0.932,25,29.3,0,0,0.4,1998,1,1,1,1235
0.42,29,25.4,1,1,0.7,1993,1,1,2,1507
0.845,29,38.4,0,0,1.9,1994,0,1,2,1295
0.087,32,30.3,2,0,0.5,1990,1,1,0,1653
0.315,30,30.7,0,0,8.4,1992,1,0,3,1905
0.253,30,21.5,0,0,3.1,1993,1,1,1,1493
0.982,30,26.8,1,0,0.4,1992,1,1,2,1634
0.048,34,27.5,0,1,4.0,1989,0,0,0,1110
0.764,34,28.0,2,0,0.7,1988,1,0,2,1515
0.296,25,29.3,0,0,2.5,1997,1,0,0,1197
0.444,42,30.2,2,1,3.1,1981,1,1,2,1069
0.223,23,15.1,2,0,2.0,2000,0,1,1,1048
0.129,42,34.3,2,0,3.5,1981,1,1,3,869
0.55,25,32.6,0,1,5.7,1998,1,1,0,1260
0.558,23,29.6,2,1,1.0,2000,0,1,3,1225
0.387,32,16.9,0,1,1.5,1990,1,0,3,1165
0.046,38,40.6,2,0,1.3,1984,1,1,5,1024
0.063,33,43.3,2,1,4.8,1989,1,1,1,1390
0.917,32,9.9,0,1,5.8,1990,0,1,5,1879
0.41,25,34.5,1,0,9.0,1997,0,1,2,1523
0.889,26,12.5,2,0,2.6,1996,1,0,1,1144
0.521,25,37.0,0,0,14.1,1998,1,1,4,985
0.917,24,31.8,1,0,1.5,1998,0,0,1,996
0.044,39,32.6,2,1,8.1,1984,1,0,0,1007
0.663,30,32.7,2,0,9.5,1992,1,0,1,1709
0.831,29,29.3,2,1,6.6,1993,0,1,2,1311
