time,action,user_out,user_in,user_total,floor,calls,orders
1090,open,0,0,0,1,[],[]
1100,open,0,0,0,1,[],[]
1110,open,0,0,0,1,[],[]
1120,open,0,0,0,1,[],[]
1130,open,0,0,0,1,[],[]
1140,open,0,0,0,1,[],[]
1150,open,0,0,0,1,[],[]
1160,open,0,0,0,1,[],[]
1170,open,0,0,0,1,[],[]
1180,open,0,0,0,1,[],[]
1190,open,0,0,0,1,[],[]
1200,open,0,0,0,1,[],[]
1210,open,0,0,0,1,[],[]
1220,up,0,0,0,1,"[(1220, 7)]",[]
1230,up,0,0,0,2,"[(1220, 7)]",[]
1240,up,0,0,0,3,"[(1220, 7)]",[]
1250,up,0,0,0,4,"[(1220, 7)]",[]
1260,up,0,0,0,5,"[(1220, 7)]",[]
1270,up,0,0,0,6,"[(1220, 7)]",[]
1280,open,0,1,1,7,[],"[(1280, 8)]"
1290,up,0,0,1,7,[],"[(1280, 8)]"
1300,open,1,0,0,8,[],[]
1310,down,0,0,0,8,"[(1310, 7)]",[]
1320,open,0,1,1,7,[],"[(1320, 6)]"
1330,down,0,0,1,7,[],"[(1320, 6)]"
1340,open,1,0,0,6,[],[]
1350,open,0,0,0,6,[],[]
1360,down,0,0,0,6,"[(1360, 4)]",[]
1370,down,0,0,0,5,"[(1360, 4)]",[]
1380,open,0,1,1,4,[],"[(1380, 9)]"
1390,up,0,0,1,4,[],"[(1380, 9)]"
1400,up,0,0,1,5,"[(1400, 4)]","[(1380, 9)]"
1410,up,0,0,1,6,"[(1400, 4)]","[(1380, 9)]"
1420,up,0,0,1,7,"[(1400, 4)]","[(1380, 9)]"
1430,up,0,0,1,8,"[(1400, 4)]","[(1380, 9)]"
1440,open,1,0,0,9,"[(1400, 4)]",[]
1450,down,0,0,0,9,"[(1400, 4)]",[]
1460,down,0,0,0,8,"[(1400, 4)]",[]
1470,down,0,0,0,7,"[(1400, 4)]",[]
1480,down,0,0,0,6,"[(1400, 4), (1480, 10), (1480, 9), (1480, 8)]",[]
1490,down,0,0,0,5,"[(1400, 4), (1480, 10), (1480, 9), (1480, 8)]",[]
1500,open,0,2,2,4,"[(1480, 10), (1480, 9), (1480, 8)]","[(1500, 7), (1500, 9)]"
1510,up,0,0,2,4,"[(1480, 10), (1480, 9), (1480, 8)]","[(1500, 7), (1500, 9)]"
1520,up,0,0,2,5,"[(1480, 10), (1480, 9), (1480, 8)]","[(1500, 7), (1500, 9)]"
1530,up,0,0,2,6,"[(1480, 10), (1480, 9), (1480, 8), (1530, 1)]","[(1500, 7), (1500, 9)]"
1540,open,1,0,1,7,"[(1480, 10), (1480, 9), (1480, 8), (1530, 1)]","[(1500, 9)]"
1550,up,0,0,1,7,"[(1480, 10), (1480, 9), (1480, 8), (1530, 1)]","[(1500, 9)]"
1560,open,0,1,2,8,"[(1480, 10), (1480, 9), (1530, 1)]","[(1500, 9), (1560, 2)]"
1570,up,0,0,2,8,"[(1480, 10), (1480, 9), (1530, 1)]","[(1500, 9), (1560, 2)]"
1580,open,1,2,3,9,"[(1480, 10), (1530, 1)]","[(1560, 2), (1580, 5)]"
1590,down,0,0,3,9,"[(1480, 10), (1530, 1)]","[(1560, 2), (1580, 5)]"
1600,down,0,0,3,8,"[(1480, 10), (1530, 1)]","[(1560, 2), (1580, 5)]"
1610,down,0,0,3,7,"[(1480, 10), (1530, 1)]","[(1560, 2), (1580, 5)]"
1620,down,0,0,3,6,"[(1480, 10), (1530, 1)]","[(1560, 2), (1580, 5)]"
1630,open,1,0,2,5,"[(1480, 10), (1530, 1)]","[(1560, 2)]"
1640,down,0,0,2,5,"[(1480, 10), (1530, 1)]","[(1560, 2)]"
1650,down,0,0,2,4,"[(1480, 10), (1530, 1)]","[(1560, 2)]"
1660,down,0,0,2,3,"[(1480, 10), (1530, 1)]","[(1560, 2)]"
1670,open,2,0,0,2,"[(1480, 10), (1530, 1)]",[]
1680,down,0,0,0,2,"[(1480, 10), (1530, 1)]",[]
1690,open,0,2,2,1,"[(1480, 10)]","[(1690, 9), (1690, 4)]"
1700,up,0,0,2,1,"[(1480, 10)]","[(1690, 9), (1690, 4)]"
1710,up,0,0,2,2,"[(1480, 10)]","[(1690, 9), (1690, 4)]"
1720,up,0,0,2,3,"[(1480, 10)]","[(1690, 9), (1690, 4)]"
1730,open,1,0,1,4,"[(1480, 10), (1730, 7)]","[(1690, 9)]"
1740,up,0,0,1,4,"[(1480, 10), (1730, 7)]","[(1690, 9)]"
1750,up,0,0,1,5,"[(1480, 10), (1730, 7)]","[(1690, 9)]"
1760,up,0,0,1,6,"[(1480, 10), (1730, 7)]","[(1690, 9)]"
1770,open,0,1,2,7,"[(1480, 10)]","[(1690, 9), (1770, 2)]"
1780,up,0,0,2,7,"[(1480, 10)]","[(1690, 9), (1770, 2)]"
1790,up,0,0,2,8,"[(1480, 10)]","[(1690, 9), (1770, 2)]"
1800,open,1,0,1,9,"[(1480, 10)]","[(1770, 2)]"
1810,down,0,0,1,9,"[(1480, 10)]","[(1770, 2)]"
1820,down,0,0,1,8,"[(1480, 10)]","[(1770, 2)]"
1830,down,0,0,1,7,"[(1480, 10), (1830, 2)]","[(1770, 2)]"
1840,down,0,0,1,6,"[(1480, 10), (1830, 2)]","[(1770, 2)]"
1850,down,0,0,1,5,"[(1480, 10), (1830, 2)]","[(1770, 2)]"
1860,down,0,0,1,4,"[(1480, 10), (1830, 2)]","[(1770, 2)]"
1870,down,0,0,1,3,"[(1480, 10), (1830, 2)]","[(1770, 2)]"
1880,open,1,1,1,2,"[(1480, 10)]","[(1880, 9)]"
1890,up,0,0,1,2,"[(1480, 10)]","[(1880, 9)]"
1900,up,0,0,1,3,"[(1480, 10)]","[(1880, 9)]"
1910,up,0,0,1,4,"[(1480, 10)]","[(1880, 9)]"
1920,up,0,0,1,5,"[(1480, 10)]","[(1880, 9)]"
1930,up,0,0,1,6,"[(1480, 10)]","[(1880, 9)]"
1940,up,0,0,1,7,"[(1480, 10)]","[(1880, 9)]"
1950,up,0,0,1,8,"[(1480, 10)]","[(1880, 9)]"
1960,open,1,0,0,9,"[(1480, 10)]",[]
1970,up,0,0,0,9,"[(1480, 10)]",[]
1980,open,0,1,1,10,[],"[(1980, 9)]"
1990,down,0,0,1,10,[],"[(1980, 9)]"
2000,open,1,0,0,9,[],[]
2010,open,0,0,0,9,[],[]
2020,open,0,0,0,9,[],[]
2030,open,0,0,0,9,[],[]
2040,open,0,0,0,9,[],[]
2050,open,0,0,0,9,[],[]
2060,down,0,0,0,9,"[(2060, 7)]",[]
2070,down,0,0,0,8,"[(2060, 7)]",[]
2080,open,0,1,1,7,[],"[(2080, 2)]"
2090,down,0,0,1,7,[],"[(2080, 2)]"
2100,down,0,0,1,6,[],"[(2080, 2)]"
2110,down,0,0,1,5,[],"[(2080, 2)]"
2120,down,0,0,1,4,[],"[(2080, 2)]"
2130,down,0,0,1,3,[],"[(2080, 2)]"
2140,open,1,0,0,2,[],[]
2150,open,0,0,0,2,[],[]
2160,open,0,0,0,2,[],[]
2170,open,0,0,0,2,[],[]
2180,open,0,0,0,2,[],[]
2190,up,0,0,0,2,"[(2190, 6)]",[]
2200,up,0,0,0,3,"[(2190, 6)]",[]
2210,up,0,0,0,4,"[(2190, 6), (2210, 1), (2210, 3)]",[]
2220,up,0,0,0,5,"[(2190, 6), (2210, 1), (2210, 3)]",[]
2230,open,0,1,1,6,"[(2210, 1), (2210, 3)]","[(2230, 9)]"
2240,up,0,0,1,6,"[(2210, 1), (2210, 3)]","[(2230, 9)]"
2250,up,0,0,1,7,"[(2210, 1), (2210, 3)]","[(2230, 9)]"
2260,up,0,0,1,8,"[(2210, 1), (2210, 3)]","[(2230, 9)]"
2270,open,1,0,0,9,"[(2210, 1), (2210, 3)]",[]
2280,down,0,0,0,9,"[(2210, 1), (2210, 3)]",[]
2290,open,0,1,1,8,"[(2210, 1), (2210, 3)]","[(2290, 4)]"
2300,down,0,0,1,8,"[(2210, 1), (2210, 3)]","[(2290, 4)]"
2310,down,0,0,1,7,"[(2210, 1), (2210, 3)]","[(2290, 4)]"
2320,down,0,0,1,6,"[(2210, 1), (2210, 3)]","[(2290, 4)]"
2330,down,0,0,1,5,"[(2210, 1), (2210, 3)]","[(2290, 4)]"
2340,open,1,0,0,4,"[(2210, 1), (2210, 3)]",[]
2350,down,0,0,0,4,"[(2210, 1), (2210, 3)]",[]
2360,open,0,1,1,3,"[(2210, 1)]","[(2360, 5)]"
2370,up,0,0,1,3,"[(2210, 1)]","[(2360, 5)]"
2380,up,0,0,1,4,"[(2210, 1)]","[(2360, 5)]"
2390,open,1,0,0,5,"[(2210, 1)]",[]
2400,down,0,0,0,5,"[(2210, 1)]",[]
2410,down,0,0,0,4,"[(2210, 1)]",[]
2420,down,0,0,0,3,"[(2210, 1)]",[]
2430,down,0,0,0,2,"[(2210, 1)]",[]
2440,open,0,0,0,1,[],[]
2450,open,0,0,0,1,[],[]
2460,open,0,0,0,1,[],[]
2470,open,0,0,0,1,[],[]
2480,open,0,0,0,1,[],[]
2490,open,0,0,0,1,[],[]
2500,open,0,0,0,1,[],[]
2510,open,0,0,0,1,[],[]
2520,open,0,0,0,1,[],[]
2530,open,0,0,0,1,[],[]
2540,up,0,0,0,1,"[(2540, 7)]",[]
2550,up,0,0,0,2,"[(2540, 7)]",[]
2560,up,0,0,0,3,"[(2540, 7), (2560, 6)]",[]
2570,up,0,0,0,4,"[(2540, 7), (2560, 6), (2570, 5), (2570, 8)]",[]
2580,open,0,1,1,5,"[(2540, 7), (2560, 6), (2570, 8)]","[(2580, 7)]"
2590,up,0,0,1,5,"[(2540, 7), (2560, 6), (2570, 8)]","[(2580, 7)]"
2600,open,0,1,2,6,"[(2540, 7), (2570, 8)]","[(2580, 7), (2600, 5)]"
2610,up,0,0,2,6,"[(2540, 7), (2570, 8)]","[(2580, 7), (2600, 5)]"
2620,open,1,1,2,7,"[(2570, 8)]","[(2600, 5), (2620, 9)]"
2630,down,0,0,2,7,"[(2570, 8)]","[(2600, 5), (2620, 9)]"
2640,down,0,0,2,6,"[(2570, 8), (2640, 2)]","[(2600, 5), (2620, 9)]"
2650,open,1,0,1,5,"[(2570, 8), (2640, 2)]","[(2620, 9)]"
2660,down,0,0,1,5,"[(2570, 8), (2640, 2)]","[(2620, 9)]"
2670,down,0,0,1,4,"[(2570, 8), (2640, 2)]","[(2620, 9)]"
2680,down,0,0,1,3,"[(2570, 8), (2640, 2)]","[(2620, 9)]"
2690,open,0,1,2,2,"[(2570, 8)]","[(2620, 9), (2690, 6)]"
2700,up,0,0,2,2,"[(2570, 8)]","[(2620, 9), (2690, 6)]"
2710,up,0,0,2,3,"[(2570, 8)]","[(2620, 9), (2690, 6)]"
2720,up,0,0,2,4,"[(2570, 8)]","[(2620, 9), (2690, 6)]"
2730,up,0,0,2,5,"[(2570, 8)]","[(2620, 9), (2690, 6)]"
2740,open,1,0,1,6,"[(2570, 8)]","[(2620, 9)]"
2750,up,0,0,1,6,"[(2570, 8)]","[(2620, 9)]"
2760,up,0,0,1,7,"[(2570, 8)]","[(2620, 9)]"
2770,open,0,1,2,8,[],"[(2620, 9), (2770, 7)]"
2780,up,0,0,2,8,"[(2780, 9)]","[(2620, 9), (2770, 7)]"
2790,open,1,1,2,9,[],"[(2770, 7), (2790, 4)]"
2800,down,0,0,2,9,[],"[(2770, 7), (2790, 4)]"
2810,down,0,0,2,8,[],"[(2770, 7), (2790, 4)]"
2820,open,1,0,1,7,[],"[(2790, 4)]"
2830,down,0,0,1,7,[],"[(2790, 4)]"
2840,down,0,0,1,6,[],"[(2790, 4)]"
2850,down,0,0,1,5,[],"[(2790, 4)]"
2860,open,1,1,1,4,"[(2860, 8)]","[(2860, 6)]"
2870,up,0,0,1,4,"[(2860, 8)]","[(2860, 6)]"
2880,up,0,0,1,5,"[(2860, 8), (2880, 2)]","[(2860, 6)]"
2890,open,1,0,0,6,"[(2860, 8), (2880, 2)]",[]
2900,up,0,0,0,6,"[(2860, 8), (2880, 2)]",[]
2910,down,0,0,0,7,"[(2860, 8), (2880, 2)]",[]
2920,down,0,0,0,6,"[(2860, 8), (2880, 2)]",[]
2930,down,0,0,0,5,"[(2860, 8), (2880, 2), (2930, 1)]",[]
2940,down,0,0,0,4,"[(2860, 8), (2880, 2), (2930, 1)]",[]
2950,down,0,0,0,3,"[(2860, 8), (2880, 2), (2930, 1)]",[]
2960,open,0,1,1,2,"[(2860, 8), (2930, 1)]","[(2960, 5)]"
2970,up,0,0,1,2,"[(2860, 8), (2930, 1)]","[(2960, 5)]"
2980,up,0,0,1,3,"[(2860, 8), (2930, 1)]","[(2960, 5)]"
2990,up,0,0,1,4,"[(2860, 8), (2930, 1)]","[(2960, 5)]"
3000,open,1,0,0,5,"[(2860, 8), (2930, 1)]",[]
3010,up,0,0,0,5,"[(2860, 8), (2930, 1)]",[]
3020,down,0,0,0,6,"[(2860, 8), (2930, 1)]",[]
3030,down,0,0,0,5,"[(2860, 8), (2930, 1)]",[]
3040,down,0,0,0,4,"[(2860, 8), (2930, 1)]",[]
3050,down,0,0,0,3,"[(2860, 8), (2930, 1)]",[]
3060,down,0,0,0,2,"[(2860, 8), (2930, 1)]",[]
3070,open,0,1,1,1,"[(2860, 8), (3070, 7)]","[(3070, 9)]"
3080,up,0,0,1,1,"[(2860, 8), (3070, 7)]","[(3070, 9)]"
3090,up,0,0,1,2,"[(2860, 8), (3070, 7)]","[(3070, 9)]"
3100,up,0,0,1,3,"[(2860, 8), (3070, 7)]","[(3070, 9)]"
3110,up,0,0,1,4,"[(2860, 8), (3070, 7)]","[(3070, 9)]"
3120,up,0,0,1,5,"[(2860, 8), (3070, 7)]","[(3070, 9)]"
3130,up,0,0,1,6,"[(2860, 8), (3070, 7)]","[(3070, 9)]"
3140,open,0,1,2,7,"[(2860, 8)]","[(3070, 9), (3140, 5)]"
3150,up,0,0,2,7,"[(2860, 8)]","[(3070, 9), (3140, 5)]"
3160,open,0,0,2,8,[],"[(3070, 9), (3140, 5)]"
3170,up,0,0,2,8,[],"[(3070, 9), (3140, 5)]"
3180,open,1,0,1,9,[],"[(3140, 5)]"
3190,down,0,0,1,9,[],"[(3140, 5)]"
3200,down,0,0,1,8,[],"[(3140, 5)]"
3210,down,0,0,1,7,[],"[(3140, 5)]"
3220,down,0,0,1,6,[],"[(3140, 5)]"
3230,open,1,0,0,5,[],[]
3240,down,0,0,0,5,"[(3240, 3)]",[]
3250,down,0,0,0,4,"[(3240, 3)]",[]
3260,open,0,1,1,3,[],"[(3260, 8)]"
3270,up,0,0,1,3,"[(3270, 2)]","[(3260, 8)]"
3280,up,0,0,1,4,"[(3270, 2)]","[(3260, 8)]"
3290,up,0,0,1,5,"[(3270, 2), (3290, 3), (3290, 1)]","[(3260, 8)]"
3300,up,0,0,1,6,"[(3270, 2), (3290, 3), (3290, 1)]","[(3260, 8)]"
3310,up,0,0,1,7,"[(3270, 2), (3290, 3), (3290, 1)]","[(3260, 8)]"
3320,open,1,0,0,8,"[(3270, 2), (3290, 3), (3290, 1)]",[]
3330,down,0,0,0,8,"[(3270, 2), (3290, 3), (3290, 1)]",[]
3340,down,0,0,0,7,"[(3270, 2), (3290, 3), (3290, 1)]",[]
3350,down,0,0,0,6,"[(3270, 2), (3290, 3), (3290, 1)]",[]
3360,down,0,0,0,5,"[(3270, 2), (3290, 3), (3290, 1)]",[]
3370,down,0,0,0,4,"[(3270, 2), (3290, 3), (3290, 1)]",[]
3380,open,0,1,1,3,"[(3270, 2), (3290, 1)]","[(3380, 5)]"
3390,up,0,0,1,3,"[(3270, 2), (3290, 1)]","[(3380, 5)]"
3400,up,0,0,1,4,"[(3270, 2), (3290, 1)]","[(3380, 5)]"
3410,open,1,0,0,5,"[(3270, 2), (3290, 1)]",[]
3420,down,0,0,0,5,"[(3270, 2), (3290, 1)]",[]
3430,down,0,0,0,4,"[(3270, 2), (3290, 1)]",[]
3440,down,0,0,0,3,"[(3270, 2), (3290, 1)]",[]
3450,open,0,1,1,2,"[(3290, 1)]","[(3450, 7)]"
3460,up,0,0,1,2,"[(3290, 1)]","[(3450, 7)]"
3470,up,0,0,1,3,"[(3290, 1)]","[(3450, 7)]"
3480,up,0,0,1,4,"[(3290, 1)]","[(3450, 7)]"
3490,up,0,0,1,5,"[(3290, 1)]","[(3450, 7)]"
3500,up,0,0,1,6,"[(3290, 1)]","[(3450, 7)]"
3510,open,1,0,0,7,"[(3290, 1)]",[]
3520,down,0,0,0,7,"[(3290, 1)]",[]
3530,down,0,0,0,6,"[(3290, 1)]",[]
3540,down,0,0,0,5,"[(3290, 1)]",[]
3550,down,0,0,0,4,"[(3290, 1)]",[]
3560,down,0,0,0,3,"[(3290, 1), (3560, 6)]",[]
3570,down,0,0,0,2,"[(3290, 1), (3560, 6)]",[]
3580,open,0,0,0,1,"[(3560, 6)]",[]
3590,up,0,0,0,1,"[(3560, 6)]",[]
3600,up,0,0,0,2,"[(3560, 6)]",[]
3610,up,0,0,0,3,"[(3560, 6)]",[]
3620,up,0,0,0,4,"[(3560, 6)]",[]
3630,up,0,0,0,5,"[(3560, 6)]",[]
3640,open,0,1,1,6,[],"[(3640, 1)]"
3650,down,0,0,1,6,[],"[(3640, 1)]"
3660,down,0,0,1,5,[],"[(3640, 1)]"
3670,down,0,0,1,4,[],"[(3640, 1)]"
3680,down,0,0,1,3,[],"[(3640, 1)]"
3690,down,0,0,1,2,[],"[(3640, 1)]"
3700,open,1,0,0,1,[],[]
3710,open,0,0,0,1,[],[]
3720,open,0,0,0,1,[],[]
3730,open,0,0,0,1,[],[]
3740,open,0,0,0,1,[],[]
3750,open,0,0,0,1,[],[]
3760,up,0,0,0,1,"[(3760, 4)]",[]
3770,up,0,0,0,2,"[(3760, 4)]",[]
3780,up,0,0,0,3,"[(3760, 4)]",[]
3790,open,0,1,1,4,[],"[(3790, 6)]"
3800,up,0,0,1,4,[],"[(3790, 6)]"
3810,up,0,0,1,5,[],"[(3790, 6)]"
3820,open,1,0,0,6,[],[]
3830,open,0,0,0,6,[],[]
3840,down,0,0,0,6,"[(3840, 2)]",[]
3850,down,0,0,0,5,"[(3840, 2)]",[]
3860,down,0,0,0,4,"[(3840, 2)]",[]
3870,down,0,0,0,3,"[(3840, 2)]",[]
3880,open,0,1,1,2,[],"[(3880, 7)]"
3890,up,0,0,1,2,[],"[(3880, 7)]"
3900,up,0,0,1,3,[],"[(3880, 7)]"
3910,up,0,0,1,4,[],"[(3880, 7)]"
3920,up,0,0,1,5,[],"[(3880, 7)]"
3930,up,0,0,1,6,[],"[(3880, 7)]"
3940,open,1,0,0,7,[],[]
3950,open,0,0,0,7,[],[]
3960,down,0,0,0,7,"[(3960, 4)]",[]
3970,down,0,0,0,6,"[(3960, 4)]",[]
3980,down,0,0,0,5,"[(3960, 4)]",[]
3990,open,0,1,1,4,[],"[(3990, 5)]"
4000,up,0,0,1,4,[],"[(3990, 5)]"
4010,open,1,0,0,5,[],[]
4020,open,0,0,0,5,[],[]
4030,open,0,0,0,5,[],[]
4040,open,0,0,0,5,[],[]
4050,open,0,0,0,5,[],[]
4060,open,0,0,0,5,[],[]
4070,open,0,0,0,5,[],[]
4080,open,0,0,0,5,[],[]
4090,open,0,0,0,5,[],[]
4100,open,0,0,0,5,[],[]
4110,open,0,0,0,5,[],[]
4120,open,0,0,0,5,[],[]
4130,open,0,0,0,5,[],[]
4140,open,0,0,0,5,[],[]
4150,open,0,0,0,5,[],[]
4160,open,0,0,0,5,[],[]
4170,open,0,0,0,5,[],[]
4180,open,0,0,0,5,[],[]
4190,down,0,0,0,5,"[(4190, 3)]",[]
4200,down,0,0,0,4,"[(4190, 3)]",[]
4210,open,0,1,1,3,[],"[(4210, 9)]"
4220,up,0,0,1,3,[],"[(4210, 9)]"
4230,up,0,0,1,4,[],"[(4210, 9)]"
4240,up,0,0,1,5,[],"[(4210, 9)]"
4250,up,0,0,1,6,[],"[(4210, 9)]"
4260,up,0,0,1,7,[],"[(4210, 9)]"
4270,up,0,0,1,8,[],"[(4210, 9)]"
4280,open,1,0,0,9,[],[]
4290,open,0,0,0,9,[],[]
4300,open,0,0,0,9,[],[]
4310,open,0,0,0,9,[],[]
4320,open,0,0,0,9,[],[]
4330,open,0,0,0,9,[],[]
4340,open,0,0,0,9,[],[]
4350,down,0,0,0,9,"[(4350, 8)]",[]
4360,open,0,1,1,8,[],"[(4360, 3)]"
4370,down,0,0,1,8,[],"[(4360, 3)]"
4380,down,0,0,1,7,"[(4380, 3)]","[(4360, 3)]"
4390,down,0,0,1,6,"[(4380, 3)]","[(4360, 3)]"
4400,down,0,0,1,5,"[(4380, 3)]","[(4360, 3)]"
4410,down,0,0,1,4,"[(4380, 3)]","[(4360, 3)]"
4420,open,1,1,1,3,[],"[(4420, 7)]"
4430,up,0,0,1,3,[],"[(4420, 7)]"
4440,up,0,0,1,4,[],"[(4420, 7)]"
4450,up,0,0,1,5,[],"[(4420, 7)]"
4460,up,0,0,1,6,[],"[(4420, 7)]"
4470,open,1,0,0,7,[],[]
4480,open,0,0,0,7,[],[]
4490,open,0,0,0,7,[],[]
4500,open,0,0,0,7,[],[]
4510,open,0,0,0,7,[],[]
4520,open,0,0,0,7,[],[]
4530,open,0,0,0,7,[],[]
4540,open,0,0,0,7,[],[]
4550,up,0,0,0,7,"[(4550, 8)]",[]
4560,open,0,1,1,8,[],"[(4560, 10)]"
4570,up,0,0,1,8,[],"[(4560, 10)]"
4580,up,0,0,1,9,[],"[(4560, 10)]"
4590,open,1,0,0,10,[],[]
